Table QS802EW																					
2011 Census: Age of arrival in UK, local authorities in England and Wales																					
																					
England and Wales																					
Constituent Countries; Regions, counties, London boroughs, unitary																					
authorities and districts in England; unitary authorities in Wales																					
																					
All usual residents 																					
																					
																					
Area code	Area name			All categories: Age of arrival in the UK	Born in the UK	Age of arrival in the UK: 0 to 4	Age of arrival in the UK: 5 to 7	Age of arrival in the UK: 8 to 9	Age of arrival in the UK: 10 to 14	Age of arrival in the UK: 15	Age of arrival in the UK: 16 to 17	Age of arrival in the UK: 18 to 19	Age of arrival in the UK: 20 to 24	Age of arrival in the UK: 25 to 29	Age of arrival in the UK: 30 to 44	Age of arrival in the UK: 45 to 59	Age of arrival in the UK: 60 to 64	Age of arrival in the UK: 65 to 74	Age of arrival in the UK: 75 to 84	Age of arrival in the UK: 85 to 89	Age of arrival in the UK: 90 and over
				Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons
				Number	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage
																					
E07000029			Copeland	70,603	97.1	0.7	0.2	0.1	0.2	0.1	0.1	0.1	0.4	0.4	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E07000030			Eden	52,564	96.6	0.9	0.2	0.1	0.1	0.0	0.1	0.2	0.6	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000031			South Lakeland	103,658	95.2	1.0	0.2	0.1	0.3	0.1	0.2	0.2	0.9	0.7	0.7	0.2	0.0	0.0	0.0	0.0	0.0
																					
E11000001		Greater Manchester (Met County)		2,682,528	88.0	1.5	0.6	0.4	0.9	0.2	0.6	1.0	2.5	1.9	2.0	0.4	0.0	0.0	0.0	0.0	0.0
E08000001			Bolton	276,786	88.7	1.4	0.6	0.4	1.0	0.2	0.6	1.0	2.3	1.6	1.7	0.3	0.0	0.1	0.0	0.0	0.0
E08000002			Bury	185,060	91.3	1.4	0.5	0.3	0.7	0.2	0.4	0.6	1.7	1.3	1.4	0.3	0.0	0.0	0.0	0.0	0.0
E08000003			Manchester	503,127	74.7	2.7	1.2	0.7	1.7	0.5	1.4	2.2	5.4	4.2	4.4	0.8	0.1	0.1	0.0	0.0	0.0
E08000004			Oldham 	224,897	88.2	1.6	0.7	0.4	1.1	0.2	0.6	1.1	2.5	1.6	1.6	0.3	0.0	0.1	0.0	0.0	0.0
E08000005			Rochdale	211,699	88.9	1.5	0.6	0.4	1.0	0.2	0.5	0.9	2.3	1.6	1.7	0.3	0.0	0.0	0.0	0.0	0.0
E08000006			Salford	233,933	88.3	1.4	0.5	0.3	0.7	0.2	0.5	0.9	2.6	2.1	2.0	0.4	0.0	0.0	0.0	0.0	0.0
E08000007			Stockport	283,275	93.2	1.1	0.4	0.2	0.5	0.1	0.3	0.5	1.3	1.0	1.1	0.2	0.0	0.0	0.0	0.0	0.0
E08000008			Tameside	219,324	93.0	1.1	0.4	0.3	0.6	0.1	0.3	0.5	1.3	1.0	1.1	0.2	0.0	0.0	0.0	0.0	0.0
E08000009			Trafford	226,578	88.8	1.6	0.6	0.3	0.8	0.2	0.5	0.8	2.1	1.8	1.9	0.3	0.0	0.1	0.0	0.0	0.0
E08000010			Wigan	317,849	96.5	0.6	0.2	0.1	0.2	0.1	0.1	0.2	0.6	0.5	0.6	0.1	0.0	0.0	0.0	0.0	0.0
																					
E10000017		Lancashire 		1,171,339	93.5	1.1	0.3	0.2	0.5	0.1	0.3	0.6	1.4	0.9	0.9	0.2	0.0	0.0	0.0	0.0	0.0
E07000117			Burnley	87,059	92.3	1.2	0.4	0.3	0.6	0.1	0.4	0.6	1.5	1.1	1.1	0.2	0.0	0.0	0.0	0.0	0.0
